manufacturer,model,year,km,transmission,color,price,license_plate,gov_manufacturer,gov_tokef_dt,gov_last_test_dt,gov_baalut,zmig_kidmi,zmig_ahori
GEELY,GEOMETRY C 460 חשמלי,2022,40699,אוטומטי,לבן,99900,24164903,גילי סין,2026-08-27,2025-07-17,ליסינג,225/45R18,225/45R18
יונדאי,איוניק PREMIUM FL 1.6 היברידי,2022,92678,אוטומטי,שחור מטלי,99900,63395702,יונדאי קוריאה,2026-01-14,2024-12-23,ליסינג,225/45R17,225/45R17
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,90332,אוטומטי,כסף מטלי,99900,15752403,יונדאי קוריאה,2025-09-21,2024-09-10,ליסינג,205/55R16,205/55R16
קיה,סלטוס EX 2.0,2022,70482,אוטומטי,אפור כהה,99900,27270103,קיה קוריאה,2026-11-20,2025-10-29,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,97313,אוטומטי,אפור כהה,99900,36147803,קיה קוריאה,2026-04-01,2025-03-25,ליסינג,215/55R17,215/55R17
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,93111,אוטומטי,שחור מטלי,98900,87137802,טויוטה טורקיה,2026-03-29,2025-02-27,ליסינג,205/55R16,205/55R16
סוזוקי,ויטארה GLX 1.3 HYBRID,2023,97015,אוטומטי,אפור מטלי,98900,29769603,סוזוקי הונגריה,2026-04-01,2025-03-11,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,105906,אוטומטי,אפור,98900,35373803,קיה קוריאה,2026-02-04,2025-02-02,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,109624,אוטומטי,אפור,98900,35372803,קיה קוריאה,2026-02-04,2025-02-02,ליסינג,215/55R17,215/55R17
קיה,סלטוס EX PLUS 2.0,2023,116770,אוטומטי,אפור כהה,98900,35689503,קיה קוריאה,2026-03-26,2025-03-03,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,86940,אוטומטי,אפור כהה,98900,27339203,קיה קוריאה,2025-12-31,2024-12-19,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,87952,אוטומטי,אפור כהה,98900,35441303,קיה קוריאה,2026-02-21,2025-02-06,ליסינג,215/55R17,215/55R17
GEELY,GEOMETRY C 460 חשמלי,2022,48418,אוטומטי,לבן,97900,24165503,גילי סין,2026-08-23,2025-08-04,ליסינג,225/45R18,225/45R18
GEELY,GEOMETRY C 460 חשמלי,2022,64670,אוטומטי,כסף,97900,20693703,גילי סין,2026-07-31,2025-07-07,ליסינג,225/45R18,225/45R18
מיצובישי,אקליפס קרוס EXECUTIVE 1.5,2023,100183,אוטומטי,אפור,97900,15885603,מיצובישי יפן,2025-12-31,2024-11-29,ליסינג,P225/55R18,P225/55R18
סקודה,אוקטביה AMBITION 1.5,2022,134611,אוטומטי,אפור כהה,97900,23411703,סקודה צ'כיה,2026-10-31,2025-10-20,ליסינג,205/55 R17,205/55 R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,100330,אוטומטי,לבן,97900,35377503,קיה קוריאה,2026-01-10,2024-12-22,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,85937,אוטומטי,לבן,97900,27059303,קיה קוריאה,2026-11-14,2025-11-10,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,86431,אוטומטי,אפור,97900,26835403,קיה קוריאה,2026-10-23,2025-09-12,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,86649,אוטומטי,אפור,97900,26835703,קיה קוריאה,2025-11-06,2024-10-29,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,86860,אוטומטי,שחור,97900,26689703,קיה קוריאה,2026-10-05,2025-09-21,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,88520,אוטומטי,שחור,97900,27057303,קיה קוריאה,2025-11-14,2024-10-29,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,90774,אוטומטי,שחור,97900,27057203,קיה קוריאה,2025-11-14,2024-11-05,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,92330,אוטומטי,אפור,97900,27058203,קיה קוריאה,2025-11-14,2024-11-06,ליסינג,215/55R17,215/55R17
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,105264,אוטומטי,כסף מטלי,96900,21667403,טויוטה טורקיה,2026-09-13,2025-09-03,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,100555,אוטומטי,לבן,96900,15787303,יונדאי קוריאה,2026-10-23,2025-10-21,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,105988,אוטומטי,לבן,96900,15782703,יונדאי קוריאה,2025-10-22,2024-10-01,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,106504,אוטומטי,שחור מטלי,96900,15784903,יונדאי קוריאה,2026-10-23,2025-10-22,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,66215,אוטומטי,כסף כהה,96900,15783603,יונדאי קוריאה,2026-10-22,2025-09-09,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,100519,אוטומטי,לבן,95900,15750003,יונדאי קוריאה,2026-09-21,2025-08-19,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,112327,אוטומטי,שחור מטלי,95900,12038703,יונדאי קוריאה,2026-08-02,2025-07-28,ליסינג,205/55R16,205/55R16
יונדאי,אלנטרה PREMIUM 1.6 היברידי,2022,113981,אוטומטי,כסף כהה,95900,15752503,יונדאי קוריאה,2026-09-20,2025-08-11,ליסינג,205/55R16,205/55R16
סיאט,ארונה STYLE 1.0,2023,61952,אוטומטי,לבן,95900,23806303,סיאט ספרד,2026-01-09,2025-01-09,ליסינג,205/60 R16,205/60 R16
סקודה,אוקטביה AMBITION 1.5,2022,111153,אוטומטי,כסף,95900,89162102,סקודה צ'כיה,2026-07-16,2025-07-08,ליסינג,205/55 R17,205/55 R17
קיה,ספורטאז' URBAN 2.0,2022,124603,אוטומטי,שחור,95900,27002903,קיה סלובקיה,2026-10-25,2025-10-15,ליסינג,215/65R17,215/65R17
קיה,סלטוס EX PLUS 2.0,2022,101496,אוטומטי,אפור כהה,94900,17623403,קיה קוריאה,2026-09-05,2025-09-04,ליסינג,215/55R17,215/55R17
GEELY,GEOMETRY C 460 חשמלי,2022,83058,אוטומטי,לבן,93900,24165703,גילי סין,2026-08-23,2025-07-28,ליסינג,225/45R18,225/45R18
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,110815,אוטומטי,לבן,93900,27059703,קיה קוריאה,2026-11-14,2025-10-30,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,117284,אוטומטי,אפור,93900,26835603,קיה קוריאה,2026-11-06,2025-10-21,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,119972,אוטומטי,כסף,93900,26690203,קיה קוריאה,2026-10-05,2025-08-31,ליסינג,215/55R17,215/55R17
קיה,ספורטאז' URBAN 2.0,2022,148389,אוטומטי,ירוק,93900,27313603,קיה סלובקיה,2026-11-22,2025-11-02,ליסינג,215/65R17,215/65R17
GEELY,GEOMETRY C 460 חשמלי,2022,68673,אוטומטי,לבן,92900,15617603,גילי סין,2026-05-07,2025-04-24,ליסינג,225/45R18,225/45R18
GEELY,GEOMETRY C 460 חשמלי,2022,84670,אוטומטי,לבן,92900,15617003,גילי סין,2026-05-01,2025-05-05,ליסינג,225/45R18,225/45R18
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,123732,אוטומטי,לבן,92900,22137703,טויוטה טורקיה,2026-11-19,2025-10-15,ליסינג,205/55R16,205/55R16
סקודה,קאמיק AMBITION 1.5,2024,101005,אוטומטי,אפור כהה,92900,60725503,סקודה צ'כיה,2026-01-01,2024-01-02,ליסינג,205/60 R16,205/60 R16
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2023,124594,אוטומטי,לבן,92900,35377603,קיה קוריאה,2026-02-04,2025-01-30,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2022,90256,אוטומטי,אפור בהיר,92900,17320203,קיה קוריאה,2026-08-09,2025-07-24,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2022,93482,אוטומטי,אפור בהיר,92900,17319803,קיה קוריאה,2026-08-09,2025-07-17,ליסינג,215/55R17,215/55R17
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,104316,אוטומטי,לבן,91900,82167502,טויוטה טורקיה,2026-01-12,2024-12-24,ליסינג,205/55R16,205/55R16
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,98781,אוטומטי,לבן,91900,87081202,טויוטה טורקיה,2026-03-27,2025-03-19,ליסינג,205/55R16,205/55R16
סוזוקי,ויטארה GLX 1.3 HYBRID,2022,106454,אוטומטי,לבן,91900,10797803,סוזוקי הונגריה,2026-07-11,2025-07-03,ליסינג,215/55R17,215/55R17
קיה,נירו פלוס LX 1.6 פלאג- אין הייבריד,2022,92532,אוטומטי,שחור,91900,26834803,קיה קוריאה,2025-11-06,2024-11-07,ליסינג,215/55R17,215/55R17
קיה,סלטוס URBAN 2.0,2023,128311,אוטומטי,לבן,91900,35442803,קיה קוריאה,2026-02-15,2025-02-03,ליסינג,215/55R17,215/55R17
טויוטה,קורולה SUN 1.8 סדאן היברידי,2022,130994,אוטומטי,לבן,90900,86959902,טויוטה טורקיה,2026-03-23,2025-03-17,ליסינג,205/55R16,205/55R16
יונדאי,באיון PRIME PLUS 1.0,2023,59708,אוטומטי,כסף מטלי,90900,25604203,יונדאי טורקיה,2026-02-01,2025-02-02,ליסינג,205/55R17,205/55R17
יונדאי,באיון PRIME PLUS 1.0,2022,27011,אוטומטי,לבן,90900,16230003,יונדאי טורקיה,2026-09-27,2025-09-28,ליסינג,205/55R17,205/55R17
מיצובישי,אקליפס קרוס INTENSE 1.5,2022,96388,אוטומטי,שחור,90900,15805103,מיצובישי יפן,2025-10-29,2024-10-15,ליסינג,P225/55R18,P225/55R18
קיה,סלטוס URBAN 2.0,2022,101891,אוטומטי,אפור בהיר,90900,26874403,קיה קוריאה,2025-11-06,2024-10-22,ליסינג,215/55R17,215/55R17
